Italian;Polish;明日;Japanese;Japanese;Polish
English;French;Αγαπητές συμπατριώτισσες, αγαπητοί συμπατριώτες, Σήμερα ο απανταχού Ελληνισμός γιορτάζει. Είναι η μέρα, που η Ελλάδα μας ύψωσε το ανάστημά της και βροντοφώναξε “ΟΧΙ” ενάντια στον ωμό και αυθάδη εκβιασμό των φασιστικών και ναζιστικών δυνάμεων του Άξονα.;Greek;Greek;French
English;Hebrew;מחר;Hebrew;Hebrew;English
English;German;מחר;Hebrew;Hebrew;German
Spanish;Chinese;מחר;Hebrew;Hebrew;Chinese
English;French;רשימת האישורים הנדרשים לחידוש רישיון רכב סוג הקובץ :  pdf משקל : 2.86 Mb;Hebrew;Hebrew;French
German;Italian;ذهب;Arabic;Arabic;Italian
English;Arabic;ذهب;Arabic;Arabic;English
Hebrew;Chinese;ما;Persian;Persian;Chinese
Hebrew;Chinese;نوروز باستانی یادگار نیاکان ما خجسته باد;Persian;Persian;Chinese
Hebrew;Chinese;در اسلام اهميت فوق العاده اى به علم و دانش داده شده و صدها آيه قرآن و هزاران روایت از اين معنى حكايت مى كند.;Persian;Persian;Chinese
Persian;Chinese;در اسلام اهميت فوق العاده اى به علم و دانش داده شده و صدها آيه قرآن و هزاران روایت از اين معنى حكايت مى كند.;Persian;Persian;Chinese
Persian;Arabic;در اسلام اهميت فوق العاده اى به علم و دانش داده شده و صدها آيه قرآن و هزاران روایت از اين معنى حكايت مى كند.;Persian;Persian;Arabic
German;Russian;завтра;Russian;Russian;German
Italian;Hebrew;завтра;Russian;Russian;Hebrew
German;Russian;сьогодні йду туди до столу;Ukrainian;Ukrainian;German
French;Ukrainian;узколікій;Ukrainian;Ukrainian;French
Chinese;Russian;Это по-русски написано а не по-китайски;Russian;Russian;Chinese
English;German;Їхній номінал нижчий;Ukrainian;Ukrainian;German
Russian;German;Круглі та шестикутні, трохи більше грама і кілограмові;Ukrainian;Ukrainian;German
German;Ukrainian;Усовершенствованный перевод, совмещающий машинный и контекстуальный перевод;Russian;Russian;Ukrainian
German;Romanian;Усовершенствованный перевод, совмещающий машинный и контекстуальный перевод;Russian;Russian;Romanian
German;Ukrainian;Усовершенствованный перевод, совмещающий машинный и контекстуальный перевод в одном приложении;Russian;Russian;German
Ukrainian;German;Усовершенствованный перевод, совмещающий машинный и контекстуальный перевод в одном приложении;Russian;Russian;German
Ukrainian;Russian;Круглі та шестикутні, трохи більше грама і кілограмові;Ukrainian;Ukrainian;Russian
Russian;Ukrainian;Круглі та шестикутні, трохи більше грама і кілограмові;Ukrainian;Ukrainian;Russian
